category,title,details,url
anime,『銀魂』完全新作映画2026年公開,『銀魂』完全新作映画「吉原大炎上」が2026年公開決定。原作者・空知英秋氏のメッセージも発表され、ファンの注目を集めています。,https://www.anime-gintama.com
anime,ウマ娘『ぱかライブTV』生放送,『ウマ娘 プリティーダービー』公式生配信「ぱかライブTV Vol.56」が8月22日20時より放送。新キャストや新情報も続々発表予定。,https://news.yahoo.co.jp/articles/da11c7ee5883b75d7fbc5eff039489c8db1b2525
anime,ふつつかな悪女ではございますが新ビジュアル公開,2025年秋に放送開始予定のTVアニメ版の新ビジュアルが発表。メインキャラクターたちの出会いシーンやビジュアルにも注目です。,https://www.animatetimes.com/news/details.php?id=1755252907
anime,アニサマ特別ユニットがTHE FIRST TAKEに初登場,人気アニソンアーティストによるスペシャルユニット・ANISAMA FRIENDSが「THE FIRST TAKE」に初出演し一発撮りパフォーマンス披露。,https://www.thefirsttimes.jp/the-first-take/0000669242/
anime,『ホウセンカ』劇場上映決定,木下麦監督×此元和津也原作のオリジナル劇場アニメ『ホウセンカ』が10月に公開決定。思いやりと成長テーマのファンタジー作品。,https://www.animatetimes.com/news/details.php?id=1755074113
anime,『鬼滅の刃』無限城編 興収220億円突破,劇場版『鬼滅の刃』無限城編の興行収入が220億円を突破し歴代6位にランクイン。シリーズの圧倒的人気が証明されました。,https://news.yahoo.co.jp/articles/a055470455e0e3137921c03ac39fc5ebdcad958d
anime,オールナイトニッポンGOLD放送決定,『鬼滅の刃』の出演声優陣が集結し、特別番組「オールナイトニッポンGOLD」が9月12日一夜限りでラジオ放送されます。,https://www.animatetimes.com/news/details.php?id=1754626117
anime,『ズートピア2』新映像＆ポスター公開,大人気アニメ映画『ズートピア2』の新映像とポスターが公開。上戸彩＆森川智之が続投し、さらなる冒険が描かれます。,https://www.cinematoday.jp/news/N0150125
anime,『ラブライブ！ニジガク』写真集発売決定,田中ちえ美セカンド写真集が9月誕生日記念でリリース決定。『ラブライブ！虹ヶ咲学園』ファン注目の撮り下ろし多数掲載。,https://ksk-pj.com/nisekoiho/34945.html
anime,ラジオドラマ『サラリーマンBLACK』8月24日開始,社会派ラジオドラマ『サラリーマンBLACK』第3期が8月24日スタート。新たなキャスト・ストーリーに期待が高まります。,https://news.livedoor.com/article/detail/23975009/
K-POP,新ボーイズグループCORTIS 9月8日にリリースパーティ,BTSやTXTが所属するBIGHIT MUSICから新グループCORTISが9/8デビュー。最初の公式イベントも大きな注目。,https://news.yahoo.co.jp/articles/41b79475e302059672a9b7c55593709569f909ee
K-POP,aespa 3度目の日本アリーナツアー決定,aespaが3度目の日本アリーナツアー開催決定。神奈川ぴあアリーナMMで最新パフォーマンスとサプライズ発表も。,https://niewmedia.com/news/072988/
K-POP,NiziU 日本最大級夏フェス出演,NiziUが「ROCK IN JAPAN FESTIVAL 2025」に出演決定。大規模音楽フェスで圧巻のライブが期待されています。,https://niziu.com/s/n123/news/detail/11699?ima=0000&link=ROBO004
K-POP,BLACKPINK ROSÉ 新曲『Messy』リリース,BLACKPINKロゼが新曲「Messy」を配信開始。話題の映画『F1』サントラにも参加しグローバルで注目。,https://www.thefirsttimes.jp/news/0000614359/
K-POP,ENHYPEN NI-KI ナイナイと再会,ENHYPENのNI-KIがフジテレビ『週刊ナイナイミュージック』に出演し、ナイナイとの再会トークが話題に。,https://x.com/enhypen_jp
K-POP,BOYNEXTDOOR 新曲MVティザー公開,BOYNEXTDOORが新曲『Count To Love』MVティザーを公開。俳優・板垣李光人との共演も大きな話題。,https://www.mainichikpop.com/comeback/2600/
K-POP,TEENTOP 8月21日カムバック,"TEENTOPがニューアルバム『Just 15, Just TEENTOP』で8月21日にカムバック。ファン必見の新作です。",https://www.mainichikpop.com/comeback/2600/
